id,image_name,zoning_id,zoning_zty
30,data/austin_30.jpg,400374361,PUD
61,data/austin_61.jpg,400398641,I-RR
95,data/austin_95.jpg,400531694,PUD
98,data/austin_98.jpg,400579321,PUD
107,data/austin_107.jpg,400008155,MF-2
125,data/austin_125.jpg,400374364,PUD
153,data/austin_153.jpg,400374115,PUD
163,data/austin_163.jpg,400374364,PUD
171,data/austin_171.jpg,400579321,PUD
178,data/austin_178.jpg,237010,CS-MU-CO
181,data/austin_181.jpg,130369,SF-2
194,data/austin_194.jpg,400595178,I-RR
196,data/austin_196.jpg,400595178,I-RR
205,data/austin_205.jpg,400374115,PUD
206,data/austin_206.jpg,400374115,PUD
225,data/austin_225.jpg,400579321,PUD
227,data/austin_227.jpg,400443088,CS-CO
267,data/austin_267.jpg,400544102,SF-4A
272,data/austin_272.jpg,400631584,P
316,data/austin_316.jpg,400631584,P
321,data/austin_321.jpg,400399897,GR-CO
322,data/austin_322.jpg,400443381,GR-CO
325,data/austin_325.jpg,400470410,P
354,data/austin_354.jpg,237031,CS
370,data/austin_370.jpg,400595179,I-RR
379,data/austin_379.jpg,215861,AV
399,data/austin_399.jpg,135558,SF-4A-CO
430,data/austin_430.jpg,215860,AV
433,data/austin_433.jpg,138223,DR
436,data/austin_436.jpg,138223,DR
474,data/austin_474.jpg,215861,AV
483,data/austin_483.jpg,235909,P
495,data/austin_495.jpg,121030,CS-MU-CO
500,data/austin_500.jpg,127476,SF-2
512,data/austin_512.jpg,127459,SF-2
517,data/austin_517.jpg,400443303,I-RR
534,data/austin_534.jpg,215861,AV
539,data/austin_539.jpg,215860,AV
597,data/austin_597.jpg,215860,AV
599,data/austin_599.jpg,215860,AV
603,data/austin_603.jpg,225632,LI-CO-NP
604,data/austin_604.jpg,225620,IP-CO-NP
617,data/austin_617.jpg,212984,GR-CO
619,data/austin_619.jpg,137808,MF-3
642,data/austin_642.jpg,128073,RR
650,data/austin_650.jpg,137944,PUD
659,data/austin_659.jpg,215860,AV
664,data/austin_664.jpg,215860,AV
670,data/austin_670.jpg,400531180,LI-PDA-NP
676,data/austin_676.jpg,124617,SF-2-NP
680,data/austin_680.jpg,133030,SF-3-NP
693,data/austin_693.jpg,400446405,SF-3
699,data/austin_699.jpg,128075,RR
705,data/austin_705.jpg,400476162,SF-2
718,data/austin_718.jpg,137944,PUD
729,data/austin_729.jpg,215860,AV
732,data/austin_732.jpg,215860,AV
733,data/austin_733.jpg,215860,AV
740,data/austin_740.jpg,400531180,LI-PDA-NP
741,data/austin_741.jpg,400476868,LI-PDA-NP
742,data/austin_742.jpg,400476863,LI-CO-NP
752,data/austin_752.jpg,217728,GR-NP
753,data/austin_753.jpg,136230,GR-NP
760,data/austin_760.jpg,126654,SF-3
781,data/austin_781.jpg,203184,I-RR
791,data/austin_791.jpg,215860,AV
801,data/austin_801.jpg,400531180,LI-PDA-NP
807,data/austin_807.jpg,125409,LI-NP
808,data/austin_808.jpg,123727,LI-PDA-NP
814,data/austin_814.jpg,125326,LI-CO-NP
815,data/austin_815.jpg,125326,LI-CO-NP
851,data/austin_851.jpg,215860,AV
855,data/austin_855.jpg,215860,AV
863,data/austin_863.jpg,125419,LI-NP
867,data/austin_867.jpg,138187,LI-NP
869,data/austin_869.jpg,400008307,LI-NP
870,data/austin_870.jpg,125326,LI-CO-NP
886,data/austin_886.jpg,132365,SF-3
894,data/austin_894.jpg,131478,SF-2
905,data/austin_905.jpg,226402,LI-NP
928,data/austin_928.jpg,131544,SF-2
933,data/austin_933.jpg,127102,P
946,data/austin_946.jpg,226475,CS-NP
947,data/austin_947.jpg,125448,LI-NP
956,data/austin_956.jpg,124684,SF-2-NP
959,data/austin_959.jpg,122117,GR-MU-CO
964,data/austin_964.jpg,119644,CS-1-MU-CO-NP
999,data/austin_999.jpg,400462370,ERC
1008,data/austin_1008.jpg,121770,CS-MU-NP
1015,data/austin_1015.jpg,129151,MF-2-NP
1027,data/austin_1027.jpg,131635,SF-2-NP
1060,data/austin_1060.jpg,131679,SF-2-NP
1066,data/austin_1066.jpg,125842,MF-3-CO-NP
1077,data/austin_1077.jpg,124229,LO-MU-CO-NP
1096,data/austin_1096.jpg,212299,CS-NP
1117,data/austin_1117.jpg,120167,DR
1133,data/austin_1133.jpg,209432,CS-MU-V-NP
1153,data/austin_1153.jpg,138233,GR-NP
1170,data/austin_1170.jpg,128758,MF-3-NP
1183,data/austin_1183.jpg,131768,SF-2
1190,data/austin_1190.jpg,128131,RR-NP
1199,data/austin_1199.jpg,400442148,LI-PDA-NP
1229,data/austin_1229.jpg,133201,SF-3
1241,data/austin_1241.jpg,122507,GR-CO-NP
1256,data/austin_1256.jpg,137947,RR-NP
1262,data/austin_1262.jpg,236615,P-NP
1274,data/austin_1274.jpg,119780,CS
1305,data/austin_1305.jpg,125358,LI-CO-NP
1308,data/austin_1308.jpg,221325,CS-CO-NP
1309,data/austin_1309.jpg,122622,CS-CO-NP
1316,data/austin_1316.jpg,121782,CS-MU-V-NP
1320,data/austin_1320.jpg,226948,CS-MU-CO
1326,data/austin_1326.jpg,128604,SF-2
1347,data/austin_1347.jpg,400523453,SF-2
1360,data/austin_1360.jpg,136852,SF-3-NP
1362,data/austin_1362.jpg,128005,PUD-NP
1363,data/austin_1363.jpg,138188,CS-1-V-NP
1365,data/austin_1365.jpg,136831,SF-3-NP
1369,data/austin_1369.jpg,133199,SF-6-CO
1375,data/austin_1375.jpg,136051,SF-6-CO
1377,data/austin_1377.jpg,123866,LO
1403,data/austin_1403.jpg,400008365,P
1414,data/austin_1414.jpg,121410,CBD
1416,data/austin_1416.jpg,236637,CS
1463,data/austin_1463.jpg,137055,SF-3-NP
1497,data/austin_1497.jpg,125141,LI
1506,data/austin_1506.jpg,137135,SF-3-NP
1515,data/austin_1515.jpg,119634,CS-1-H
1517,data/austin_1517.jpg,121568,CBD
1518,data/austin_1518.jpg,120059,DMU-CO
1519,data/austin_1519.jpg,118848,CS
1537,data/austin_1537.jpg,125641,P
1541,data/austin_1541.jpg,400510876,PUD
1543,data/austin_1543.jpg,400510876,PUD
1556,data/austin_1556.jpg,125473,LI-NP
1571,data/austin_1571.jpg,234770,MF-4-H-NP
1601,data/austin_1601.jpg,400008536,I-SF-4A
1606,data/austin_1606.jpg,125652,P
1685,data/austin_1685.jpg,214585,LO
1698,data/austin_1698.jpg,400510876,PUD
1699,data/austin_1699.jpg,400510876,PUD
1701,data/austin_1701.jpg,237209,P
1706,data/austin_1706.jpg,237209,P
1707,data/austin_1707.jpg,237208,UNZ
1728,data/austin_1728.jpg,124388,LO-NP
1750,data/austin_1750.jpg,400510876,PUD
1755,data/austin_1755.jpg,237208,UNZ
1767,data/austin_1767.jpg,400499465,SF-4A
1775,data/austin_1775.jpg,135361,SF-6-CO-NP
1809,data/austin_1809.jpg,237209,P
1811,data/austin_1811.jpg,237208,UNZ
1814,data/austin_1814.jpg,237208,UNZ
1830,data/austin_1830.jpg,129427,SF-2-NP
1831,data/austin_1831.jpg,137364,SF-2-NP
1838,data/austin_1838.jpg,119007,CS-CO-NP
1851,data/austin_1851.jpg,216011,PUD
1852,data/austin_1852.jpg,237209,P
1857,data/austin_1857.jpg,237208,UNZ
1864,data/austin_1864.jpg,129668,PUD
1872,data/austin_1872.jpg,129440,SF-2-NP
1882,data/austin_1882.jpg,122002,GR-CO-NP
1883,data/austin_1883.jpg,124396,LO-NP
1901,data/austin_1901.jpg,237208,UNZ
1912,data/austin_1912.jpg,124721,SF-3-NP
1913,data/austin_1913.jpg,124718,SF-3-NP
1941,data/austin_1941.jpg,237208,UNZ
1943,data/austin_1943.jpg,237208,UNZ
1944,data/austin_1944.jpg,237209,P
1959,data/austin_1959.jpg,133723,SF-3-NP
1966,data/austin_1966.jpg,119199,CS-V
1976,data/austin_1976.jpg,127852,PUD
1979,data/austin_1979.jpg,237209,P
1989,data/austin_1989.jpg,400008282,P
1999,data/austin_1999.jpg,133794,SF-3-NP
2000,data/austin_2000.jpg,133779,SF-3-NP
2002,data/austin_2002.jpg,216605,CS-NP
2004,data/austin_2004.jpg,224205,CS-V-CO-NP
2014,data/austin_2014.jpg,133882,SF-3
2030,data/austin_2030.jpg,216011,PUD
2055,data/austin_2055.jpg,400376440,CS-MU-V-CO-NP
2075,data/austin_2075.jpg,127852,PUD
2078,data/austin_2078.jpg,127858,PUD
2079,data/austin_2079.jpg,237209,P
2105,data/austin_2105.jpg,133860,SF-3
2122,data/austin_2122.jpg,127852,PUD
2123,data/austin_2123.jpg,127852,PUD
2132,data/austin_2132.jpg,231676,LI
2138,data/austin_2138.jpg,133907,SF-3-NP
2145,data/austin_2145.jpg,122779,CS-MU-CO-NP
2179,data/austin_2179.jpg,210125,LI
2186,data/austin_2186.jpg,119255,CS-MU-NP
2187,data/austin_2187.jpg,223117,CS-MU-CO-NP
2194,data/austin_2194.jpg,124319,LO-MU-NP
2197,data/austin_2197.jpg,133971,SF-3
2231,data/austin_2231.jpg,136391,LI-CO
2239,data/austin_2239.jpg,210727,CH-NP
2292,data/austin_2292.jpg,135116,SF-3-NP
2294,data/austin_2294.jpg,119089,CS-V
2324,data/austin_2324.jpg,400497561,LA
2333,data/austin_2333.jpg,125173,LI
2342,data/austin_2342.jpg,119034,CS-CO-NP
2372,data/austin_2372.jpg,400497561,LA
2375,data/austin_2375.jpg,120247,DR
2382,data/austin_2382.jpg,400475969,PUD
2388,data/austin_2388.jpg,122218,GR-NP
2390,data/austin_2390.jpg,400008616,SF-3-NP
2391,data/austin_2391.jpg,126932,MH-NP
2392,data/austin_2392.jpg,119110,CS-V-CO-NP
2398,data/austin_2398.jpg,122543,GR-CO
2399,data/austin_2399.jpg,134163,SF-3
2413,data/austin_2413.jpg,125705,P
2427,data/austin_2427.jpg,400597363,I-SF-4A
2434,data/austin_2434.jpg,127907,PUD
2442,data/austin_2442.jpg,122218,GR-NP
2499,data/austin_2499.jpg,135232,SF-3-NP
2505,data/austin_2505.jpg,137767,SF-3
2507,data/austin_2507.jpg,134239,SF-3
2528,data/austin_2528.jpg,400420491,PUD
2540,data/austin_2540.jpg,120403,CS-CO-NP
2542,data/austin_2542.jpg,122235,GR-V-CO-NP
2547,data/austin_2547.jpg,135274,SF-3-NP
2549,data/austin_2549.jpg,135264,SF-3-NP
2578,data/austin_2578.jpg,120247,DR
2581,data/austin_2581.jpg,235056,PUD
2584,data/austin_2584.jpg,235056,PUD
2594,data/austin_2594.jpg,400008599,LR-MU-V-NP
2599,data/austin_2599.jpg,400008217,GR-NP
2600,data/austin_2600.jpg,119979,CS-NP
2601,data/austin_2601.jpg,119981,CS-NP
2609,data/austin_2609.jpg,134406,SF-3
2610,data/austin_2610.jpg,134353,SF-3
2637,data/austin_2637.jpg,235056,PUD
2653,data/austin_2653.jpg,119274,CS-NP
2655,data/austin_2655.jpg,135310,SF-3-NP
2665,data/austin_2665.jpg,123990,LO
2678,data/austin_2678.jpg,132620,SF-2
2695,data/austin_2695.jpg,120247,DR
2711,data/austin_2711.jpg,400008348,LO-V-NP
2714,data/austin_2714.jpg,135350,SF-3-NP
2716,data/austin_2716.jpg,135347,SF-3-NP
2749,data/austin_2749.jpg,120247,DR
2763,data/austin_2763.jpg,123263,LR
2764,data/austin_2764.jpg,122895,GO-CO
2768,data/austin_2768.jpg,227642,NBG-NP
2773,data/austin_2773.jpg,124009,LO
2785,data/austin_2785.jpg,129998,SF-1
2795,data/austin_2795.jpg,134641,DR
2805,data/austin_2805.jpg,127988,PUD
2836,data/austin_2836.jpg,132705,SF-2
2859,data/austin_2859.jpg,223005,MF-2
2898,data/austin_2898.jpg,120254,DR
2910,data/austin_2910.jpg,131779,SF-2
2920,data/austin_2920.jpg,128212,RR
2925,data/austin_2925.jpg,125738,P
2926,data/austin_2926.jpg,125738,P
2939,data/austin_2939.jpg,122283,GR
2941,data/austin_2941.jpg,400008657,SF-2
2964,data/austin_2964.jpg,222387,SF-2
2970,data/austin_2970.jpg,400497061,LO
3003,data/austin_3003.jpg,120257,DR
3010,data/austin_3010.jpg,137849,GR
3026,data/austin_3026.jpg,216703,GR
3027,data/austin_3027.jpg,122838,GO
3040,data/austin_3040.jpg,400478417,P-CO
3061,data/austin_3061.jpg,137435,GR-CO
3064,data/austin_3064.jpg,132805,SF-3
3109,data/austin_3109.jpg,400589240,LI-PDA
3111,data/austin_3111.jpg,222868,LI-PDA
3113,data/austin_3113.jpg,137483,CS-CO
3117,data/austin_3117.jpg,202499,MF-3-CO
3135,data/austin_3135.jpg,137576,DR
3161,data/austin_3161.jpg,137540,GR
3175,data/austin_3175.jpg,123520,GR-CO
3194,data/austin_3194.jpg,400478532,GR-CO
3210,data/austin_3210.jpg,130515,SF-2
3212,data/austin_3212.jpg,122335,GR
3242,data/austin_3242.jpg,400478532,GR-CO
3264,data/austin_3264.jpg,215604,LO-CO
3265,data/austin_3265.jpg,130577,SF-2
3271,data/austin_3271.jpg,130109,SF-1
3303,data/austin_3303.jpg,136656,LI
3314,data/austin_3314.jpg,128276,RR
3334,data/austin_3334.jpg,124534,PUD
3337,data/austin_3337.jpg,205476,RR
3343,data/austin_3343.jpg,400008325,SF-2
3382,data/austin_3382.jpg,400466584,GR-CO
3390,data/austin_3390.jpg,130263,SF-1
3405,data/austin_3405.jpg,124591,PUD
3414,data/austin_3414.jpg,122913,GO-CO
3438,data/austin_3438.jpg,137298,GR
3449,data/austin_3449.jpg,400494394,PUD
3455,data/austin_3455.jpg,124591,PUD
3459,data/austin_3459.jpg,124591,PUD
3473,data/austin_3473.jpg,125255,LI
3476,data/austin_3476.jpg,400494394,PUD
3494,data/austin_3494.jpg,236650,I-SF-2
3497,data/austin_3497.jpg,125255,LI
3501,data/austin_3501.jpg,400494394,PUD
3503,data/austin_3503.jpg,400008706,PUD
3508,data/austin_3508.jpg,124591,PUD
3510,data/austin_3510.jpg,124591,PUD
3512,data/austin_3512.jpg,124591,PUD
3521,data/austin_3521.jpg,120504,CS-CO
3528,data/austin_3528.jpg,124591,PUD
3539,data/austin_3539.jpg,202792,GR
3540,data/austin_3540.jpg,120503,CS-CO
3551,data/austin_3551.jpg,124591,PUD
3553,data/austin_3553.jpg,124591,PUD
3561,data/austin_3561.jpg,138283,CH
3562,data/austin_3562.jpg,137701,GR
3563,data/austin_3563.jpg,122400,GR
3564,data/austin_3564.jpg,400381990,CH
3573,data/austin_3573.jpg,400481479,PUD
3586,data/austin_3586.jpg,400008504,GR-CO
3587,data/austin_3587.jpg,122403,GR
3597,data/austin_3597.jpg,137333,IP
3600,data/austin_3600.jpg,400451236,CS-CO
3603,data/austin_3603.jpg,231636,PUD
3642,data/austin_3642.jpg,231636,PUD
3654,data/austin_3654.jpg,231636,PUD
